month,total_orders,average_delivery_days,late_rate
2016-09,1,54.81319444444444,100.0
2016-10,265,19.600558787561145,1.1320754716981132
2016-12,1,4.693020833333334,0.0
2017-01,750,12.647043518518519,3.0666666666666664
2017-02,1653,13.168825248986131,3.2062915910465817
2017-03,2546,12.951184487831313,5.577376276512176
2017-04,2303,14.91791250040205,7.859313938341293
2017-05,3546,11.322362975369588,3.609701071630006
2017-06,3135,12.01157270438301,3.8596491228070176
2017-07,3872,11.592732387200606,3.4349173553719003
2017-08,4193,11.147124655510508,3.315048891008824
2017-09,4150,11.85100652889335,5.204819277108434
2017-10,4478,11.856699698526127,5.2925413130862
2017-11,7289,15.161131699241778,14.309233090958978
2017-12,5513,15.394918530107287,8.380192272809722
2018-01,7069,14.080562613956085,6.563870420144292
2018-02,6555,16.945137568155495,15.987795575896262
2018-03,7003,16.30141017440938,21.362273311437953
2018-04,6798,11.499241053673193,5.310385407472786
2018-05,6749,11.419028935356678,8.238257519632539
2018-06,6099,9.239216293167347,1.3608788325955075
2018-07,6159,8.958636237154959,4.481246955674623
2018-08,6351,7.732779720458137,10.392064241851678
